iter	Passed	Remaining
0	1	158
1	3	149
2	4	143
3	5	132
4	6	129
5	7	123
6	8	118
7	10	115
8	11	112
9	12	110
10	13	108
11	14	106
12	15	104
13	16	102
14	17	101
15	18	99
16	19	97
17	20	95
18	21	93
19	22	91
20	23	89
21	24	87
22	25	86
23	26	84
24	27	82
25	28	80
26	29	78
27	30	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	36	66
35	36	65
36	37	64
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	53
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
