iter	Passed	Remaining
0	134	134812
1	135	67803
2	136	45464
3	137	34295
4	138	27606
5	139	23145
6	140	19930
7	141	17512
8	141	15634
9	142	14152
10	143	12927
11	144	11904
12	145	11049
13	146	10310
14	147	9664
15	147	9093
16	148	8588
17	149	8138
18	149	7735
19	150	7372
20	151	7045
21	151	6747
22	152	6474
23	153	6228
24	154	6007
25	154	5794
26	155	5597
27	155	5414
28	156	5247
29	157	5088
30	158	4939
31	158	4798
32	159	4678
33	160	4553
34	160	4434
35	161	4321
36	161	4214
37	162	4117
38	163	4020
39	163	3929
40	164	3841
41	164	3758
42	165	3678
43	165	3602
44	166	3529
45	166	3459
46	167	3392
47	167	3330
48	168	3269
49	168	3210
50	169	3154
51	170	3100
52	170	3050
53	171	3001
54	171	2953
55	172	2909
56	173	2864
57	173	2819
58	174	2777
59	174	2736
60	175	2696
61	175	2657
62	176	2619
63	176	2583
64	177	2548
65	177	2514
66	178	2481
67	178	2449
68	179	2418
69	179	2389
70	180	2360
71	180	2331
72	181	2303
73	181	2275
74	182	2253
75	183	2227
76	183	2203
77	184	2178
78	184	2154
79	185	2132
80	186	2111
81	186	2091
82	187	2067
83	187	2046
84	188	2027
85	188	2007
86	189	1988
87	190	1969
88	190	1950
89	191	1932
90	191	1913
91	192	1896
92	192	1878
93	193	1861
94	193	1844
95	194	1827
96	194	1811
97	195	1795
98	195	1780
99	196	1765
100	196	1750
101	197	1735
102	197	1722
103	198	1709
104	198	1695
105	199	1681
106	199	1668
107	200	1655
108	200	1642
109	201	1629
110	201	1616
111	202	1604
112	202	1592
113	203	1580
114	203	1569
115	204	1557
116	204	1545
117	205	1534
118	205	1523
119	206	1512
120	206	1502
121	207	1491
122	207	1481
123	208	1471
124	208	1461
125	209	1451
126	209	1441
127	210	1431
128	210	1422
129	211	1413
130	211	1403
131	212	1395
132	212	1386
133	213	1377
134	213	1369
135	214	1360
136	214	1352
137	215	1344
138	215	1336
139	216	1328
140	216	1320
141	217	1312
142	217	1304
143	218	1296
144	218	1289
145	219	1281
146	219	1274
147	220	1267
148	220	1260
149	221	1253
